"id_dataset","method","human_mean","coherence_diff_norm","diversity_diff_norm","coherence_var_diff_norm","diversity_var_diff_norm","length","coherence_diff_z","diversity_diff_z","coherence_var_diff_z","diversity_var_diff_z","mean_composite_score","var_composite_score","overall_composite_score"
"1179 wikitext","topp (0.95)",2,-0.394944309493659,0.00505594036152073,0.303863413542512,-0.000140676730380553,11,-13.7791764739606,4.84035611582776,6.9717396552816,-1.23635717118082,-4.4694101790664,2.86769124205039,-0.800859468508004
"1179 wikitext","CS (('0.6', '10'))",2.5,0.00586935869484232,7.49207100175595e-06,0.00100878250688874,-1.38084874983428e-06,174,0.191541648881171,0.310398236358068,-0.142498429615063,-0.48210850045736,0.25096994261962,-0.312303465036212,-0.030666761208296
"1179 wikitext","beam (5)",2,0.00821870906797187,-0.00255257099627577,0.000333459206648942,0.000596553826007064,224,0.273430352884523,-1.98673886323991,-0.158362181560196,2.75554237862934,-0.856654255177695,1.29859009853457,0.220967921678437
"1179 wikitext","topk (50)",3.5,8.10245352074463e-05,-9.96854685873671e-05,-0.00231094568693635,7.39843622155773e-06,244,-0.0102159042246357,0.214228143683114,-0.220480848662958,-0.434571100628631,0.102006119729239,-0.327525974645794,-0.112759927458278
"1179 wikitext","temp (0.9)",4.5,0.00296351432018797,3.36386612754681e-05,-0.00230409278575491,-9.28882729886924e-07,236,0.0902558497949764,0.333859495306507,-0.220319869877822,-0.479661229470116,0.212057672550742,-0.349990549673969,-0.0689664385616136
"1181 wikinews","topk (50)",3,-0.00139533401894262,-0.000260072815103856,-0.000524466094043777,4.02823557024768e-06,138,-0.0616756992498306,0.0703130469425836,-0.178515364713822,-0.452819804980572,0.00431867384637649,-0.315667584847197,-0.15567445550041
"1181 wikinews","beam (5)",2.5,0.00834049951089056,-0.000410182262641297,-0.000480619786388264,2.97363993393545e-05,128,0.277675467467973,-0.0643797211168804,-0.177485388481534,-0.313617208876585,0.106647873175546,-0.245551298679059,-0.0694517127517564
"1181 wikinews","temp (0.9)",3,0.00146455862368757,-0.000320527724444567,0.000161618586039189,1.07889556542611e-05,288,0.0380084112056659,0.0160670336804719,-0.162398821460645,-0.416212375695484,0.0270377224430689,-0.289305598578065,-0.131133938067498
"1181 wikinews","topp (0.95)",3.5,0.00273791929273295,-0.000227220813222449,-0.000282918356769318,5.77982689917964e-06,165,0.0823925337740105,0.0997910521067677,-0.172841262567976,-0.443335422412823,0.0910917929403891,-0.308088342490399,-0.108498274775005
"1181 wikinews","CS (('0.6', '10'))",3,0.00188212125989104,-0.000193089721362116,0.000201284503445565,9.83239276579097e-06,248,0.0525629295567865,0.130416780966462,-0.161467045118577,-0.421391899157669,0.0914898552616241,-0.291429472138123,-0.0999698084382494
"1182 wikitext","CS (('0.6', '10'))",1.5,0.00613298955205353,-0.000935601249621568,0.00585891333204791,0.000165994335206215,140,0.200730737694502,-0.53583664077359,-0.0285659290120917,0.424181825811009,-0.167552951539544,0.197807948399459,0.0151274984299572
"1182 wikitext","topk (50)",1,0.00607813309640987,-0.00230941521656821,0.00173537983749381,0.000355276079738481,318,0.198818666974759,-1.76855589357507,-0.125430219747845,1.44909011839182,-0.784868613300156,0.661829949321987,-0.0615193319890847
"1182 wikitext","temp (0.9)",1.5,0.00284015719250827,-0.000404376039905707,0.000775115072543013,4.49583314948799e-05,271,0.0859561270159471,-0.0591698144450744,-0.147987418688592,-0.231194656538786,0.0133931562854364,-0.189591037613689,-0.0880989406641265
"1182 wikitext","beam (5)",2,0.0081616265057125,-0.00246285403913333,0.00218154953391218,0.000483957314307504,251,0.271440689231935,-1.90623610010521,-0.114949424272695,2.1458634112164,-0.817397705436639,1.01545699347185,0.0990296440176061
"1182 wikitext","topp (0.95)",2.5,0.00323303578973906,-0.000388014972693443,0.00125353562881379,1.80814578853468e-05,234,0.0996502611586667,-0.0444890767075168,-0.136749031049017,-0.376725493171376,0.0275805922255749,-0.256737262110197,-0.114578334942311
"1197 wikitext","topp (0.95)",1.5,-0.0157354516992667,0.00503008519600709,0.0301122144905986,-0.000748382416705898,52,-0.561513299263926,4.81715635146383,0.541158754399913,-4.52691537531437,2.12782152609995,-1.99287831045723,0.067471607821362
"1197 wikitext","CS (('0.6', '10'))",1,-0.000971041286825333,-0.00107176585667819,-0.000250568256688772,6.96622452954546e-05,483,-0.046886597399159,-0.658016744271814,-0.17208133919069,-0.0974297962455933,-0.352451670835486,-0.134755567718142,-0.243603619276814
"1197 wikitext","topk (50)",1,0.000867150518197844,-0.000795838115511981,0.00111539851942477,0.000169199852087123,206,0.0171852185141118,-0.410427589479927,-0.139993955127583,0.441538813096647,-0.196621185482908,0.150772428984532,-0.022924378249188
"1197 wikitext","beam (5)",1.5,0.00456611154680116,-0.00017543249036299,0.00134580374734391,-4.10893822197503e-05,198,0.146115806414348,0.146260562677433,-0.134581597252069,-0.697119226082842,0.14618818454589,-0.415850411667456,-0.134831113560783
"1197 wikitext","temp (0.9)",1,-0.00242692269896172,0.00070754593754488,0.000849816420795541,-0.000170568730206489,157,-0.09763264336403,0.938554522469943,-0.146232638928699,-1.39821408231153,0.420460939552957,-0.772223360620116,-0.175881210533579
"1202 wikinews","CS (('0.6', '10'))",3,0.00191129900842803,3.71694894436408e-05,0.00130219671522349,-1.89609285433771e-06,244,0.0535799460225965,0.337027697090708,-0.135605952757612,-0.484898404770182,0.195303821556652,-0.310252178763897,-0.0574741786036224
"1202 wikinews","temp (0.9)",2.5,0.00158680393281229,-0.000493576084395609,0.000629883453249528,2.71261239142582e-05,264,0.0422693805566859,-0.139208753369125,-0.151398997087033,-0.327751128318801,-0.0484696864062196,-0.239575062702917,-0.144022374554568
"1202 wikinews","topk (50)",3,0.00229737470488628,-0.00013723733329794,0.0022501906453063,1.68332723005199e-05,274,0.0670369589874371,0.180532965353982,-0.113337003134541,-0.38348407287345,0.12378496217071,-0.248410538003995,-0.0623127879166428
"1202 wikinews","topp (0.95)",3.5,0.00257411835221536,-0.000182407490005378,0.0020616811144842,7.99165862008512e-06,255,0.0766831058032274,0.140001915906964,-0.117765205797167,-0.431358965421943,0.108342510855096,-0.274562085609555,-0.0831097873772295
"1202 wikinews","beam (5)",1,0.00575754197999949,-0.00140543020097102,0.00139614932422867,0.000394886668578139,237,0.187644177491157,-0.957412784113598,-0.133398949262653,1.66357050093528,-0.384884303311221,0.765085775836314,0.190100736262547
"1232 wikitext","topk (50)",4,-0.00116312497077542,0.000321085442147351,-0.000405485225831251,-4.03554527015145e-05,247,-0.0535818456340611,0.59178465072192,-0.175720432303123,-0.693145200741579,0.269101402543929,-0.434432816522351,-0.0826657069892109
"1232 wikitext","topp (0.95)",2.5,0.00142626130709088,-0.000558644934720532,0.000477792407322009,7.66590769999058e-05,249,0.0366735240561042,-0.197594842376114,-0.154971707557431,-0.0595438878427259,-0.0804606591600048,-0.107257797700078,-0.0938592284300416
"1232 wikitext","temp (0.9)",2.5,-0.000893474339608953,0.000204410640066987,0.00335883188141863,-3.93639165185679e-05,231,-0.0441829322269929,0.487092692202289,-0.0872943513267513,-0.687776306563183,0.221454879987648,-0.387535328944967,-0.0830402244786595
"1232 wikitext","beam (5)",2,0.00625495828841113,-0.00244646995290495,0.00192922938522822,0.000488062428459984,225,0.204982066854888,-1.89153470747185,-0.120876576864735,2.16809146890503,-0.843276320308481,1.02360744602015,0.0901655628558328
